"V1","text"
"“I’m not saying his heart isn’t in the right place,” said Professor","book 1"
"McGonagall grudgingly, “but you can’t pretend he’s not careless. He does tend","book 1"
"to — what was that?”","book 1"
"A low rumbling sound had broken the silence around them. It grew","book 1"
"steadily louder as they looked up and down the street for some sign of a","book 1"
"headlight; it swelled to a roar as they both looked up at the sky — and a huge","book 1"
"motorcycle fell out of the air and landed on the road in front of them.","book 1"
"If the motorcycle was huge, it was nothing to the man sitting astride it.","book 1"
"He was almost twice as tall as a normal man and at least five times as wide. He","book 1"
"looked simply too big to be allowed, and so wild — long tangles of bushy black","book 1"
"hair and beard hid most of his face, he had hands the size of trash can lids, and","book 1"
"his feet in their leather boots were like baby dolphins. In his vast, muscular arms","book 1"
"he was holding a bundle of blankets.","book 1"
"“Hagrid,” said Dumbledore, sounding relieved. “At last. And where did","book 1"
"you get that motorcycle?”","book 1"
"“Borrowed it, Professor Dumbledore, sir,” said the giant, climbing","book 1"
"carefully off the motorcycle as he spoke. “Young Sirius Black lent it to me. I’ve","book 1"
"got him, sir.”","book 1"
"“No problems, were there?”","book 1"
"“No, sir — house was almost destroyed, but I got him out all right before","book 1"
"the Muggles started swarmin’ around. He fell asleep as we was flyin’ over","book 1"
"Bristol.”","book 1"
"Dumbledore and Professor McGonagall bent forward over the bundle of","book 1"
"blankets. Inside, just visible, was a baby boy, fast asleep. Under a tuft of jetblack","book 1"
"hair over his forehead they could see a curiously shaped cut, like a bolt of","book 1"
"lightning.","book 1"
"“Is that where —?” whispered Professor McGonagall.","book 1"
"“Yes,” said Dumbledore. “He’ll have that scar forever.”","book 1"
"“Couldn’t you do something about it, Dumbledore?”","book 1"
"“Even if I could, I wouldn’t. Scars can come in handy. I have one myself","book 1"
"above my left knee that is a perfect map of the London Underground. Well —","book 1"
"give him here, Hagrid — we’d better get this over with.”","book 1"
"Dumbledore took Harry in his arms and turned toward the Dursleys’","book 1"
"house.","book 1"
"“Could I — could I say good-bye to him, sir?” asked Hagrid. He bent his","book 1"
"great, shaggy head over Harry and gave him what must have been a very","book 1"
